from,to,dndsvalue
GCA_022866185.1,GCA_020356025.1,0.515518146249948
GCA_000468055.1,GCA_905372025.1,0.458230851378163
GCF_002001105.1,GCF_001617365.1,0.422090353301158
GCF_002951995.1,GCF_020857975.1,0.400040305787957
GCA_001788395.1,GCA_016177555.1,0.773144278935721
GCA_934090795.1,GCA_934101225.1,0.427456340979444
GCA_002501855.1,GCA_009665115.1,0.545045714710357
GCA_000715635.1,GCF_014656055.1,0.463822560553349
GCF_000712075.1,GCF_002858925.1,0.483055453311969
GCA_902519325.1,GCA_902572225.1,0.451699618818986
GCA_021785115.1,GCA_021786265.1,0.634846530572818
GCA_902536545.1,GCA_902537395.1,0.474679557231985
GCA_902572675.1,GCA_902550485.1,0.484078205372527
GCF_012912135.1,GCF_000828085.3,0.428380785979821
GCA_902535275.1,GCA_902603475.1,0.423360825854964
GCA_017848855.1,GCF_000230695.2,0.481031437448266
GCF_001431425.1,GCF_009467805.1,0.41653151568456
GCA_000715635.1,GCF_001611795.1,0.487761413013072
GCA_902573335.1,GCA_003212195.1,0.410799691202442
GCF_022179465.1,GCF_022179745.1,0.440129405329356
GCA_902587095.1,GCA_902599575.1,0.405902370383941
GCF_000719705.1,GCF_000961885.1,0.407055631206184
GCA_902519325.1,GCA_902539195.1,0.411198780972605
GCA_000474255.1,GCF_900187975.1,0.427405578087549
GCA_003213375.1,GCA_902550485.1,0.465426198415434
GCF_014656195.1,GCF_003205575.1,0.451907279673101
GCA_021799915.1,GCA_021791615.1,0.837690485746063
GCA_003484545.1,GCA_913777025.1,0.476300538495532
GCA_902573335.1,GCA_003216455.1,0.459482697419547
GCF_009908295.1,GCF_000158815.1,0.405148086932019
GCA_014649155.1,GCA_000715605.1,0.436311783481073
GCA_003212115.1,GCA_003281285.1,0.428831178516477
GCA_023395465.1,GCA_934541015.1,0.418915698024964
GCF_003416885.1,GCF_003814555.1,0.531697244861535
GCF_002278135.2,GCF_023278185.1,0.403554454302181
GCA_000715635.1,GCF_014654675.1,0.449444943788295
GCF_019218295.1,GCF_019802125.1,0.758066548731316
GCA_002693085.1,GCA_002702385.1,0.523613955654225
GCF_001428405.1,GCA_021793575.1,0.420683638629776
GCA_021797225.1,GCA_021802165.1,0.66875277367336206
GCF_001556515.1,GCF_900114015.1,0.414859535991702
GCA_902623415.1,GCA_902572775.1,0.44468794333212
GCF_902506505.1,GCF_900105885.1,0.418227384710623
GCA_905612335.1,GCA_905612385.1,0.426537909652024
GCF_000825685.1,GCF_000828125.2,0.46456166280659
GCA_900769325.1,GCA_900769985.1,0.844535121242271
GCA_000634415.1,GCA_902537445.1,0.408830438563624
GCF_002831585.1,GCF_008932115.1,0.419180037869773
GCA_902578845.1,GCA_902606255.1,0.411754409928802
GCA_003216455.1,GCA_902550485.1,0.46135211440032
GCA_903862375.1,GCA_903823865.1,1.33842477668086
GCA_003138975.1,GCA_002478115.1,1.86920362434053
GCA_021840255.1,GCA_021812785.1,1.3279172622056299
GCA_002730735.1,GCA_002720285.1,1.72825619463104
GCA_019410105.1,GCF_000239295.1,1.56881701499376
GCA_021806345.1,GCA_021845325.1,1.33015230500894
GCA_021799405.1,GCA_021810735.1,1.57601081813209
GCA_923184405.1,GCA_943181435.1,1.72716533822692
GCA_021816865.1,GCA_021827545.1,1.21606665283579
GCA_021850345.1,GCA_021796545.1,1.88285173928184
GCA_023379555.1,GCA_021817415.1,1.3607546023529
GCF_000686565.1,GCF_000765825.2,1.10001997339702
GCA_021816965.1,GCA_021833045.1,1.52937753508947
GCA_019248085.1,GCA_019248265.1,1.61415100008864
GCA_017625755.1,GCA_017623355.1,1.2324764660189
GCF_000146345.1,GCF_900232825.1,1.95173023553967
